"# Top IPs from data gathered in last 24 hours only","2020-08-17"
"Number","IP address","Rating"
"0","216.245.221.83","0.9959567371339846"
"1","63.143.42.242","0.7302838988747421"
"2","2607:ff68:107::12","0.6555821178824007"
"3","64.18.188.8","0.0"
